epg,total_valid,mean_yes_rate,mean_abstention_rate,mean_nom_d1,mean_nom_d2,n_meps
C,34740,0.41511226252158895,0.07518710420264825,0.8109206349206349,0.5301111111111111,63
E,50916,0.5088577264514101,0.02146672951528007,0.512244094488189,-0.27672440944881893,137
G,6710,0.5120715350223547,0.06974664679582712,0.27969444444444447,-0.8180555555555555,46
L,12605,0.4862356207854026,0.06322887742959143,0.40851111111111116,-0.32422222222222224,48
M,12735,0.528150765606596,0.08001570475068709,-0.3567391304347826,-0.20130434782608697,53
N,3437,0.5810299679953448,0.05615362234506838,0.25019047619047624,-0.38561904761904764,25
R,2025,0.45728395061728394,0.2651851851851852,-0.5864166666666667,-0.041916666666666685,13
S,49765,0.5755249673465287,0.05742992062694665,-0.09796,0.26092,166
